pmpilogkw,pspilogkw,pmpidlogk,pspidlogk,pmpilogS2,pspilogS2
0.33850106525,0.181083691670327,0.35963339696725,0.170745478413896,-0.0206881389740249,0.0534770153660727
0.2630737721,0.0905840446248994,0.138056975736975,0.0785534065893932,0.0621331929725,0.0159830766019821
0.9006187406725,0.709478833519268,0.04315422575475,0.494265838246251,-0.004863790100975,0.0681162744383039
0.3064753656,0.195770571315991,0.537255834630475,0.234382437984874,0.011724715529425,0.0676606531242138
0.640890212000001,0.320335609802328,0.183946847202702,0.263413446941068,0.02054698614853,0.0638193895009262
0.528167310325,0.215983696916584,0.3887363945875,0.179301695091537,0.02778732589525,0.0404676980449672
0.340049566332499,0.188919578094708,0.48055172502775,0.217572329838922,-0.0332984700728375,0.0571586515925956
0.426375923705,0.303923932815247,0.42240162685,0.277669371671473,-0.02861350965675,0.0720696516429003
0.449918297375001,0.151590845623466,0.471677470875,0.128339007291915,0.0234866910146675,0.0277657072473461
0.538415040625,0.266191311686013,0.39160099380825,0.21999166958724,0.02317052709251,0.0471083128001119
0.555783820100001,0.274504565836782,0.41327449564405,0.214210931972174,-0.0263343347169,0.0561725455881326
0.33857765215,0.202928686091673,1.1189558855,0.243788358588061,0.0375765370827699,0.0541602869571517
0.355532938425001,0.151321672465618,0.17261975487775,0.13397660629918,0.0993055716287503,0.0370994890900649
0.564414785225001,0.207926651520685,0.424808150386751,0.182424906603705,-0.0333760164555501,0.0382819437175686
0.34768629325,0.171282602561031,0.462801116025,0.153497990857129,-0.0264590732519976,0.043306947298495
0.892830125499999,0.15744898676078,0.576924673700001,0.128880516837,0.1146901859275,0.0290723424558823
0.59597166025,0.104502785145496,0.3128498306,0.0891522191833724,0.0702635203,0.0207117345442083
0.382784576274999,0.154784252286467,0.1894940171342,0.133733132496395,0.12841879765,0.0278627171686075
0.289146589525001,0.149680710294886,0.242874799193451,0.120356097210354,-0.0640016372270752,0.0354327871879246
0.359689500075,0.15511568012214,0.254196642209075,0.142844163571399,-0.0210231461794749,0.0410742718264068
0.3095733595,0.0560719114809415,0.198743607475,0.046608932536366,0.0307813649982,0.0101020764374874
